,roles,companies,locations,experience,skills
65,Data Scientist/python Application Engineer,Impact HR Services Pvt.Ltd.,Bengaluru,2-7 Yrs,"Opencv
Image Processing
Web Technologies
Spacy
Machine Learning
Scikit - Learn
Web Scraping
Python"
66,Data Scientist,Narayana Hrudayalaya Ltd,Bengaluru,2-7 Yrs,"Change Management
NLP
Algorithms
Business Analytics
Image Processing
Data Scientist
data research
Neural Networks"
67,Sr. Data Scientist,Orcapod Consulting Services Private Limited,Bengaluru,6-9 Yrs,"Data Science
Statistical Modeling
Python
R
SAS
Data Manipulation
Artificial Intelligence
Data Analysis"
68,Data Scientist,Bigshyft Hiring for Indium Software,Chennai,4-7 Yrs,"R
Machine Learning ML
Statistical Modelling
SQL
Python"
69,Senior Data Scientist - Mathematical Finance,Franklin Templeton International,Hyderabad,4-6 Yrs,"Data analysis
data science
Wealth management
Analytical
Machine learning
HTTP
Medical insurance
Data mining"
70,Sr Data Scientist,Bigshyft Hiring for Embibe,Bengaluru,7-10 Yrs,"NLP - Natural Language Processing
R
Statistical Modelling
MATLAB
Python"
71,Data Scientist,Bigshyft Hiring for Econolytics,Bengaluru,2-5 Yrs,"R
Data Warehousing
Machine Learning ML
Statistical Modelling
Python"
72,Data Scientist,Bigshyft Hiring for NextGen Invent Corporation,Noida,2-4 Yrs,"R
Hive
Data Mining
MATLAB
Machine Learning"
73,Data Scientist/Data Analyst/Data Engineering,Similarityx solutions private limited,"Chennai, Bengaluru, Hyderabad",0-2 Yrs,"tableau
data management
data analysis
oracle
data mining
hadoop
machine learning
sql server"
74,Instacar - Data Scientist,Instacar Technologies Pvt Ltd,Bengaluru,3-8 Yrs,"data science
Data Scientist
DBMS
Solution Design
Deep Learning"
75,Germany MNC Looking For Data Scientist,Pleco Migration Private Limited,"Denmark, Germany",2-7 Yrs,"data extraction
company research
senior analyst
Data Scientist
data mining
Lead Data Analyst
Data Management
Senior Data Scientist"
76,Data Scientist - R/spss/python,Serving Skill,Japan,2-6 Yrs,"Data Science
R
DataOps
Data Scientist
Data Management
Statistical Modeling
Statistical Analyst
SPSS"
77,"Data Scientist, Data Science Engineer Required with our Clients",QuickXpert Infotech,"Mumbai Suburbs, Mumbai, Thane",0-5 Yrs,"python
oracle
Oracle Developer
ai
python developer
python programmer
machine learning
data science trainees"
78,Data Scientist,Smart Monitor,Pune(Senapati Bapat Road),2-5 Yrs,"Spotfire
CSS
Oracle SQL
Power Bi
Html5
Artificial Intelligence
Alteryx
Neural Networks"
79,Sr. Data Scientist - Deep Learning ( NLP ),TRH Consultancy Services,"Bengaluru, Hyderabad",5-10 Yrs,"R
C++
C
Logistic Regression
Opencv
Image Processing
Neural Networks
Caffe"
