,roles,companies,locations,experience,skills
186,Data Scientist - Analytics & Insights Team - Food Services Firm - IIT,HyrEzy Talent Solutions,Noida,3-6 Yrs,"Reporting Analytics
Database Programming
R
Mathematical Modeling
Data Scientist
Statistical Modeling
Data Mining
Data Visualization"
187,Data Scientist - Python/ Predictive Modeling,Serving Skill,Mumbai,2-6 Yrs,"Predictive Modeling
Logistic Regression
SAS
Data Management
PhD
Algorithm
Analytics
Random Forest"
188,Data Scientist - Etl/analytics,The Hiring Story,Mumbai,3-6 Yrs,"R
Data Scientist
ETL
Machine Learning
Analytics
Python
SQL"
189,Data Scientist - Fintech,BuzzHire,"Delhi NCR, Mumbai",2-5 Yrs,"Data Science
Data Scientist
Data Management
Data Analytics
Machine Learning
Analytics
Python
SQL"
190,Data Scientist - Machine Learning - Ecommerce,TalPro,Gurgaon,2-6 Yrs,"Data Science
NLP
Data Scientist
Data Management
Data Visualization
Machine Learning
Python
SQL"
191,Data Analyst - Fresher - Data Scientist - SAS - Python - Tableau -OSD,STRUCTURED LEARNING ASSISTANCE CONSULTANTS INDIA PRIVATE LIMITED,"Bhubaneshwar, Lucknow, Bhopal, Indore, Patna, Jaipur",0-0 Yrs,"python
fresher data analyst
sas
Business Analytics
graduation fresher
fresher python
machine learning
fresher reporting analyst"
192,Data Scientist,TensorGo Technologies Private Limited,Hyderabad,2-6 Yrs,"Computer vision
Logistic regression
Statistical analysis
data science
MySQL
Machine learning
SCALA
Programming"
193,"Data Scientist - Remote ( Part Time, Full Time ) - WFH",Agile Tech,Hyderabad,2-4 Yrs,"IT Skills
Python
Cloud
AWS
work from home
python
f
part time"
194,Data Scientist - Machine Learning,The IT Mind Services,"Hyderabad, Anywhere India",11-15 Yrs,"R
Data Pipeline
Data Scientist
PySpark
Data Visualization
Azure Databricks
JSON
Machine Learning"
195,Tech Lead Data Scientist - Dl/ml - Hyderabad,Resource Weaver,Hyderabad,11-15 Yrs,"Pyspark
Azure
EDA
PySpark
CSV
SQL Queries
Data bricks
JSON"
196,Lead Data Scientist - Machine /deep Learning,Confidential,Hyderabad,5-8 Yrs,"Data Science
R
Data Scientist
Artificial Intelligence
PySpark
Data Management
Statistical Analyst
Machine Learning"
197,"Data scientist opening For females Bangalore,chennai ,Hyd",Naukri Premium - Employer Services,"Chennai, Bengaluru, Hyderabad",5-10 Yrs,"resnet
deep learning
algorithms
lstm
cnn
nlp
natural language processing
problem solving"
198,Data Scientist - Python/predictive Modeling,Serving Skill,Mumbai,2-6 Yrs,"Predictive Modeling
NLP
Logistic Regression
SAS
Data Scientist
Data Management
PhD
Algorithm"
199,Data Analyst - Fresher - Data Scientist - SAS - Python - Tableau - MNC,STRUCTURED LEARNING ASSISTANCE CONSULTANTS INDIA PRIVATE LIMITED,"Faridabad, Delhi NCR, Greater Noida",0-5 Yrs,"python
fresher data analyst
sas
Business Analytics
graduation fresher
fresher python
machine learning
fresher reporting analyst"
200,Data Scientist/ML Engineer (Work from Home),COA NETWORK INDIA PRIVATE LIMITED,Hyderabad(Somajiguda),2-7 Yrs,"IT Skills
Python
Data Science
work from home
Dimensionality Reduction
Artificial Intelligence
Data cleaning
Data Transforms"
201,Data Scientist,AVE-Promagne,Gurgaon,3-5 Yrs,"python
data science
Data Scientist
machine learning"
202,Full Stack Data Scientist,IHS India,"Gurgaon, haryana",3-8 Yrs,"Automation
Technical design
MySQL
Javascript
OLAP
Oracle
MS Office
Analytics"
203,Data Scientist,Indian Political Action Committee,Hyderabad,3-8 Yrs,"jQuery
XML
Eclipse
Wordpress
PHP
HTML
Troubleshooting
SQL"
204,Senior Data Scientist,Bion,Bengaluru,3-6 Yrs,"senior data scientist
large - scale compuations
Artificial Intelligence
Data Scientist
information retrieval
machine learning
large - scale computing"
205,Data Scientist - Python/predictive Modeling,Serving Skill,Mumbai,2-6 Yrs,"Predictive Modeling
NLP
Logistic Regression
SAS
Data Scientist
Data Management
PhD
Algorithm"
206,Senior Consultant/consultant/assistant Manager/manager- Data Scientist,Huquo Consulting Pvt. Ltd,Bengaluru,2-5 Yrs,"Predictive Modeling
CNN
k - NN
Data Management
Data Mining
SVM
Statistics
Machine Learning"
207,Data Scientist,CHANGE LEADERS CONSULTING,Gurgaon,1-3 Yrs,"Data Scientist
data modelling"
208,Con - Big Data Analytics + Data Scientist,Pylon Management Consulting Pvt Ltd,Mumbai,2-4 Yrs,"Data Science
Pyspark
Hive
Big Data Analytics
R
Artificial Intelligence
Hadoop
big data technologies"
209,"Data Scientist - Remote ( Part Time, Full Time ) - WFH",Agile Tech,Hyderabad,2-4 Yrs,"IT Skills
Python
Cloud
AWS
work from home
python
f
part time"
210,Looking For Data Scientist in Hyderabad only PHD,Anlage Infotech (I) Pvt. Ltd.,Hyderabad,5-9 Yrs,"trading
analytics
Finance Domain
capital
Data Scientist
Senior Data Scientist
investment
Mathematics"
211,Lead Data Scientist - Machine /deep Learning,Confidential,Hyderabad,5-8 Yrs,"Data Science
R
Data Scientist
Artificial Intelligence
PySpark
Data Management
Statistical Analyst
Machine Learning"
212,Full Stack Data Scientist,IHS India,Bengaluru,3-8 Yrs,"Automation
Technical design
MySQL
Javascript
OLAP
Oracle
MS Office
Analytics"
213,Data Scientist,Bion,Bengaluru,2-7 Yrs,"Data Science
NLP
Data Scientist
Machine learning
Predictive
Time Series
Regression
Predictivity"
214,Data Scientist - R/ Spss/ Python,Serving Skill,Japan,2-6 Yrs,"Data Science
R
DataOps
Data Scientist
Data Management
Statistical Modeling
Statistical Analyst
SPSS"
215,Data Scientist - KPO,Huquo Consulting Pvt. Ltd,Bengaluru,3-7 Yrs,"Data Science
NLP
Artificial Intelligence
Data Management
Big Data
Data Analytics
Analytics
Python"
216,Full Stack Data Scientist,IHS India,Gurgaon,3-8 Yrs,"Automation
Technical design
MySQL
Javascript
OLAP
Oracle
MS Office
Analytics"
217,Lead Data Scientist,Bion,Bengaluru,2-7 Yrs,"Data Science
Pattern Recognition
Artificial Intelligence AI
Image Processing
Computer Science
Data Mining
Research
Computer Vision"
218,Full Stack Data Scientist,IHS India,Noida,3-8 Yrs,"Automation
MySQL
Javascript
OLAP
Oracle
MS Office
Data mining
Analytics"
219,Full Stack Data Scientist,IHS India,Noida,3-8 Yrs,"Automation
MySQL
Javascript
OLAP
Oracle
MS Office
Data mining
Analytics"
220,Data Scientist - Machine Learning/ NLP/ Tensorflow,Newgen Software,Noida,2-5 Yrs,"Data Science
Tensorflow
NLP
Data Scientist
NLU / NLG
Machine Learning
Python"
221,Senior Data Scientist/CTO,Excel Enterprises,Chennai,3-8 Yrs,"python
data analysis
SAS
machine learning
sql
tableau
R
nlp"
222,Data Scientist/ML Engineer (Work from Home),COA NETWORK INDIA PRIVATE LIMITED,Hyderabad(Somajiguda),2-7 Yrs,"IT Skills
Python
Data Science
work from home
Dimensionality Reduction
Artificial Intelligence
Data cleaning
Data Transforms"
223,Data Scientist (ml/nlp) - (iit/nit/bits),AVE-Promagne,Bengaluru,3-5 Yrs,"NLP
data science
neural networks
machine learning
ML"
224,Full Stack Data Scientist,IHS India,"Gurgaon, haryana",3-8 Yrs,"Automation
Technical design
MySQL
Javascript
OLAP
Oracle
MS Office
Analytics"
225,Data Scientist,Kline & Company,Hyderabad,3-5 Yrs,"Business objects
Data analysis
SAS
Consulting
Agile
Business intelligence
Oracle
Data mining"
226,Data Scientist,Indian Political Action Committee,Hyderabad,3-8 Yrs,"jQuery
XML
Eclipse
Wordpress
PHP
HTML
Troubleshooting
SQL"
227,Data Scientist,"ANMUTSOLUTIONS Pvt,Ltd.","Bengaluru, Hyderabad",3-8 Yrs,"ERP
Data analysis
SAS
Simulation
Analytical
Machine learning
Healthcare
Data mining"
228,Lead Data Scientist,Bion,Bengaluru,2-7 Yrs,"Data Science
Pattern Recognition
Artificial Intelligence AI
Image Processing
Computer Science
Data Mining
Research
Computer Vision"
229,Data Scientist - R/ Spss/ Python,Serving Skill,Japan,2-6 Yrs,"Data Science
R
DataOps
Data Scientist
Data Management
Statistical Modeling
Statistical Analyst
SPSS"
230,Data Scientist,CHANGE LEADERS CONSULTING,Gurgaon,1-3 Yrs,"Data Scientist
data modelling"
231,Data Scientist,Okda Solutions,Hyderabad,4-8 Yrs,"and CouchDB
Artificial Intelligence
No SQL
Machine Learning
NumPy
HBase
R
NLP"
232,Data Analyst / Data Scientist - C++/c#/java,Confidential,Hyderabad,5-7 Yrs,"C#
Java
architecting
C++
software development
Data Scientist
Hadoop
Data Analysis"
233,"Data scientist opening For females Bangalore,chennai ,Hyd",Naukri Premium - Employer Services,"Chennai, Bengaluru, Hyderabad",5-10 Yrs,"resnet
deep learning
algorithms
lstm
cnn
nlp
natural language processing
problem solving"
234,Full Stack Data Scientist,IHS India,Bengaluru,3-8 Yrs,"Automation
Technical design
MySQL
Javascript
OLAP
Oracle
MS Office
Analytics"
235,Data Scientist - Artificial Intelligence/ Machine Learning,Okda Solutions,Hyderabad,4-8 Yrs,"Data Science
R
NLP
NoSQL
RDBMS
Artificial Intelligence
Data Scientist
Statistical Modeling"
236,Full Stack Data Scientist,IHS India,Gurgaon,3-8 Yrs,"Automation
Technical design
MySQL
Javascript
OLAP
Oracle
MS Office
Analytics"
237,Full Stack Data Scientist,IHS India,Noida,3-8 Yrs,"Automation
MySQL
Javascript
OLAP
Oracle
MS Office
Data mining
Analytics"
238,Full Stack Data Scientist,IHS India,Noida,3-8 Yrs,"Automation
MySQL
Javascript
OLAP
Oracle
MS Office
Data mining
Analytics"
239,HiTech iSolutions LLP:: Data Scientist,Hi-Tech iSolutions LLP,"Pune, Ahmedabad",3-6 Yrs,"Data Science
R
Machine Learning
Python"
240,Data Scientist - Machine Learning/ NLP/ Tensorflow,Newgen Software,Noida,2-5 Yrs,"Data Science
Tensorflow
NLP
Data Scientist
NLU / NLG
Machine Learning
Python"
241,Data Scientist ( Virtual/ Work from Home),Axim Technologies,"Nagpur, Lucknow, Mangalore, Mysore, Indore, Patna, Visakhapatnam, Jaipur",3-5 Yrs,"IT Skills
Python
Machine Learning
Big Data
work from home
R
Artificial Neural Networks
Data Scientist"
242,Data Scientist - Fintech Startup,3D India Staffing Research & Consulting Pvt Ltd,"Gurgaon, Gurugram",3-5 Yrs,"R
Lending
SAS
Data Scientist
Hadoop
Spark
IIM
Analytics"
243,Co-founder & Chief Data Scientist/senior Data Scientist,Benovymed Healthcare,Gurgaon,1-6 Yrs,"Tensorflow
NLP
Data Scientist
Artificial Intelligence
Data Architect
Data Warehousing
Algorithm
Machine Learning"
244,Data Scientist,Gray Routes,Mumbai,0-2 Yrs,"Data Science
MatplotLib
Artificial Intelligence
Data Scientist
Pandas
Keras
Tensorflow GPU
Seaborn"
245,Data Scientist - R/ Python,Techno-Comp Computer Services Private Limited,Chennai,3-5 Yrs,"R
NLP
Web Technologies
Neural Networks
Web Application
Data Visualization
Machine Learning
Python"
246,Data Scientist,TurboHire Technologies Pvt. Ltd.,India,1-4 Yrs,"Java
NLP
Expect
Django
Artificial Intelligence
Web Technologies
Machine Learning
Web Development"
247,Lead AI/ ML Data Scientist - Social Networks - Work From Home,Sutra Tech Labs Private Limited,"Delhi NCR, Bengaluru, Hyderabad",2-6 Yrs,"Artificial Intelligence
Scala
neural networks
DataFactory
Tableau
Machine Learning
Apache Spark
SageMaker"
248,Germany MNC Looking For Data Scientist,Pleco Migration Private Limited,"Denmark, Germany",2-7 Yrs,"data extraction
company research
senior analyst
Data Scientist
data mining
Lead Data Analyst
Data Management
Senior Data Scientist"
249,Data Scientist - Python/r,The Hiring Story,"Gurgaon, Gurugram",1-4 Yrs,"analytics
R
Data Scientist
forecasting
Regression
segmentation
machine learning
Python"
250,Data Scientist - Analytics & Insights Team - Food Services Firm - IIT,HyrEzy Talent Solutions,Noida,3-6 Yrs,"Reporting Analytics
Database Programming
R
Mathematical Modeling
Data Scientist
Statistical Modeling
Data Mining
Data Visualization"
251,Data Scientist - Python/sas/r - Analytics Center of Excellence,Huquo Consulting Pvt. Ltd,Mumbai,2-6 Yrs,"HQL
SAS
Scala
Data Mining
Map / Reduce
Statistics
Machine Learning
SQL"
252,Senior Data Scientist - Pharma Domain,Konnectrack Info Solutions,Hyderabad,9-14 Yrs,"Data Science
R
NLP
SAS
Data Scientist
Artificial Intelligence
Statistical Analyst
SPSS"
253,Data Scientist - Image Recognition/machine Learning,CarbyneTech India,Hyderabad,5-10 Yrs,"NLP
Data Scientist
Time Series Analysis
Artificial Intelligence
Data Management
Image Recognition
Distributed Computing
Machine Learning"
254,Data Analyst / Data Scientist - C++/c#/java,Confidential,Hyderabad,5-7 Yrs,"C#
Java
architecting
C++
software development
Data Scientist
Hadoop
Data Analysis"
255,Data Scientist,Okda Solutions,Hyderabad,4-8 Yrs,"and CouchDB
Artificial Intelligence
No SQL
Machine Learning
NumPy
HBase
R
NLP"
256,Data Scientist - Fintech Startup - IIT/ IIM/ Bits/ NIT,3D India Staffing Research Consulting Pvt Ltd,Gurgaon,3-6 Yrs,"R
Lending
SAS
Hadoop
Spark
IIM
quantitative analysis
Machine Learning"
257,Data Scientist - ETL/ Analytics,The Hiring Story,Mumbai,3-6 Yrs,"R
Data Scientist
ETL
Machine Learning
Analytics
Python
SQL"
258,Data Scientist - Process Excellence & Analytics,Huquo Consulting Pvt. Ltd,Noida,2-4 Yrs,"Data Science
Predictive Modeling
Data Scientist
Process Excellence
Data Analytics
Statistics
Machine Learning
Analytics"
259,Data Scientist - Artificial Intelligence/ Machine Learning,Okda Solutions,Hyderabad,4-8 Yrs,"Data Science
R
NLP
NoSQL
RDBMS
Artificial Intelligence
Data Scientist
Statistical Modeling"
260,Lead Data Scientist,Snaphunt,Mumbai,3-8 Yrs,"Data Science
Data Quality
Business Solutions
Computer Science
Data Mining
Data Analytics
Machine Learning
Statistical Analysis"
261,Data Scientist - Fintech Startup - IIT/ IIM/ Bits/ NIT,3D India Staffing Research Consulting Pvt Ltd,Gurgaon,3-6 Yrs,"R
Lending
SAS
Hadoop
Spark
IIM
quantitative analysis
Machine Learning"
262,Data Scientist,GLOBAL QUEST TECHNOLOGIES,Bengaluru,0-1 Yrs,"Artificial Intelligence
Big Data
Data Mining
Data Warehousing
Machine Learning"
263,Python Data Scientist - Banking/ Retail Domain - IIT/ IIM/ ISI/ DSE,Huquo Consulting Pvt. Ltd,Delhi NCR,1-5 Yrs,"Data Science
NLP
SAS
Data Scientist
Data Management
Data Analytics
Statistics
Analytics"
264,Data Scientist,GlobalHunt India Private Limited,Hyderabad,12-15 Yrs,"NLP
SAS
Machine learning
Python"
265,Data Scientist - Fintech Startup,3D India Staffing Research & Consulting Pvt Ltd,"Gurgaon, Gurugram",3-5 Yrs,"R
Lending
SAS
Data Scientist
Hadoop
Spark
IIM
Analytics"
266,Data Scientist - Python - Banking Domain,Huquo Consulting Pvt. Ltd,Delhi NCR,1-4 Yrs,"Data Scientist
Data Management
Data Mining
Spark
Data Modeling
Data Structure
Python
HBase"
267,Data Scientist - Python - Iit/dse/iim/nit,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",2-5 Yrs,"Data Science
Data Scientist
Data Visualization
Data Modeling
Python"
268,Data Scientist - Analytics - BFS,Huquo Consulting Pvt. Ltd,Mumbai,1-6 Yrs,"Data Science
Predictive Modeling
Consulting - BFSI
Data Scientist
Data Management
Data Modeling
Data Analytics
Analytics"
269,Data Scientist - Analytics,Huquo Consulting Pvt. Ltd,Mumbai,3-7 Yrs,"Data Science
Predictive Modeling
Consulting - BFSI
Data Scientist
Data Management
Data Modeling
Data Analytics
Analytics"
270,Python Data Scientist - Banking/retail Domain,Huquo Consulting Pvt. Ltd,Delhi NCR,1-5 Yrs,"Data Science
NLP
SAS
Data Scientist
Data Management
Data Analytics
Statistics
Analytics"
271,Data Scientist - Analytics - BFS,Huquo Consulting Pvt. Ltd,Mumbai,2-7 Yrs,"Data Science
Predictive Modeling
Consulting - BFSI
Data Scientist
Data Management
Data Modeling
Data Analytics
Analytics"
272,Data Scientist - Python/sas/r,Huquo Consulting Pvt. Ltd,Mumbai,2-6 Yrs,"Data Science
SAS
Data Scientist
Data Mining
Data Visualization
Web Analytics
Data Analytics
Statistics"
273,Data Scientist - Python/sas/r - Analytics Center of Excellence,Huquo Consulting Pvt. Ltd,Mumbai,2-6 Yrs,"HQL
SAS
Scala
Data Mining
Map / Reduce
Statistics
Machine Learning
SQL"
274,Data Scientist - Process Excellence & Analytics,Huquo Consulting Pvt. Ltd,Noida,2-4 Yrs,"Data Science
Predictive Modeling
Data Scientist
Process Excellence
Data Analytics
Statistics
Machine Learning
Analytics"
275,Data Scientist - Python - IIT/ DSE/ IIMS,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",2-5 Yrs,"NLP
Data Scientist
Data Management
Spark
Python
HBase"
276,Assistant Manager/ Manager/ Data Scientist - Python/ Machine Learning,Huquo Consulting Pvt. Ltd,Bengaluru,3-8 Yrs,"Data Science
Predictive Modeling
NLP
Data Scientist
Data Management
Machine Learning
Python"
277,Opportunity For Data Scientist,8K Miles Software Services Limited,Chennai,3-6 Yrs,"R
Machine Learning
Python
Tensorflow
Data Science
NLP
Classification
Keras"
278,Senior Data Scientist,Myntra.com,Bengaluru,3-6 Yrs,"Supply chain
Computer science
Computer vision
Machine learning
SAT
SCALA
Agile
Workflow"
279,"Data Scientist, NLP",Fractal.ai,Bengaluru,2-6 Yrs,"deep learning
customer analytics
Statistical analysis
Executive
Diagnostics
Artificial Intelligence
Machine learning
Data analytics"
280,Lead Data Scientist,Snaphunt,Mumbai,3-8 Yrs,"Data Science
Data Quality
Business Solutions
Computer Science
Data Mining
Data Analytics
Machine Learning
Statistical Analysis"
281,Data Scientist,Snaphunt,Mumbai,2-7 Yrs,"R
Scratch
Quality Improvement
Gdal
Remote Sensing
Career Development
Machine Learning
Deep Learning"
282,Data Scientist,SVKM's Narsee Monjee Institute of Management Studies - NMIMS,Mumbai,2-7 Yrs,"data science
SAS
Analytical
Machine learning
HTML
Predictive modeling
Pattern recognition
Data mining"
283,Full Stack Data Scientist,Markit India Services Private Limited,"Gurgaon, haryana",3-8 Yrs,"Automation
Technical design
MySQL
Javascript
OLAP
Oracle
MS Office
Analytics"
284,Data Scientist - Computer Vision and Machine Learning,IMMCO Software Solutions Pvt. Ltd.,Kochi,1-3 Yrs,"Computer Vision
Machine Learning"
285,Data Scientist,Smart Monitor,Pune(Senapati Bapat Road),2-5 Yrs,"Spotfire
Power Bi
Alteryx
Initio
Tableau
Informatica
Microstrategy
R"
286,Data Scientist - Big Data,Evolutum,United Kingdom (U.K),3-7 Yrs,"Azure
Artificial Intelligence
Hadoop
Big Data
Tableau
SSIS
Machine Learning
SQL"
287,Data Scientist,ICAV Tech Pvt. Ltd.,India,3-8 Yrs,"GIS
Software QA
C++
Life Cycle
MS SQL
C
Neural Networks
Computer Vision"
288,Data Scientist,NICE Ltd,Pune,3-6 Yrs,"Computer science
Automation
SAS
SPSS
Data mining
Risk management
Business intelligence
Macros"
289,data scientist (internship),BugendaiTech,Lucknow,0-1 Yrs,Internship
290,Jr.Data Scientist,Sapalogy Pvt. Ltd.,maharashtra,1-4 Yrs,"Computer science
C++
Operations research
Analytical
Machine learning
SCALA
Business intelligence
Data mining"
291,"Developers, Data Scientists, Web Designers, Android Developers",Cogmac Technologies,Noida,1-5 Yrs,"Computer science
Web technologies
Developer
Android"
292,Senior Data Scientist,Turings (formerly Tuple),"Delhi NCR, Bengaluru, Hyderabad",6-11 Yrs,"deep learning
algorithms
python
data science
Scalability
Data Analysis
Statistical Modeling
data structures"
293,Lead Data Scientist_Hyderabad,INFOGREX TECHNOLOGIES PRIVATE LIMITED,Hyderabad,4-6 Yrs,"Data Science
jupyter
AI
Kafka
ML"
294,Data Scientist,Ancla Consultancy Services India Pvt Ltd,Hyderabad,6-12 Yrs,"Location: Hyderabad
Data Scientist
Experience: 6-12 yrs"
295,Data Scientist,GlobalHunt India Private Limited,Hyderabad,12-15 Yrs,"NLP
SAS
Machine learning
Python"
296,Data Scientist (Internship),BugendaiTech,Indore,0-1 Yrs,Internship
297,Opportunity For Data Scientist,8K Miles Software Services Limited,Chennai,3-6 Yrs,"R
Machine Learning
Python
Tensorflow
Data Science
NLP
Classification
Keras"
298,Senior Data Scientist,Myntra.com,Bengaluru,3-6 Yrs,"Supply chain
Computer science
Computer vision
Machine learning
SAT
SCALA
Agile
Workflow"
299,Data Scientist,VARIATION COMPUSOLUTION LLP,Pune,1-6 Yrs,"analytics
deep learning
python
tensorflow
nlp
neural networks
machine learning
technical skills"
300,Associate Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,1-3 Yrs,"Computer science
C++
Data analysis
Analytical
Machine learning
HTML
Data mining
Analytics"
301,Opportunity For Data Scientist Internship - Bengaluru,Corner Stone Solutions,Bengaluru,0-1 Yrs,"Data Science
R
tensorflow
NLP
Algorithms
Opencv
Artificial Intelligence
MATLAB"
302,Data Scientist,ICAV Tech Pvt. Ltd.,India,3-8 Yrs,"GIS
Software QA
C++
Life Cycle
MS SQL
C
Neural Networks
Computer Vision"
303,Data Scientist,HR Devi and Associates,Bengaluru,6-10 Yrs,"algorithms
python
c
Artificial Intelligence
Data processing
Data mining
MATLAB
sql"
304,Head - Data Scientist - Data Mining/ Machine Learning,Talent Socio,Gurgaon,5-9 Yrs,"Predictive Modeling
R
NLP
Data Scientist
Artificial Intelligence
Time Series Forecasting
Statistical Modeling
Data Mining"
305,Data Scientist - Analytics/machine Learning,Recrumart,Bengaluru,5-8 Yrs,"Data Science
Predictive Modeling
R
Azure
Power BI
Data Mining
Data Analytics
Machine Learning"
306,Chief Data Scientist - Machine Learning/ Python,Catalyst,Bengaluru,7-12 Yrs,"Data Science
R
Data Scientist
Hadoop
Statistical Modeling
Spark
Machine Learning
Algorithm"
307,Data Scientist - Machine Learning/artificial Intelligence - IT,Talent Acceleration Corridor,"Delhi NCR, Noida",6-11 Yrs,"Data Science
SAS
Data Scientist
Artificial Intelligence
Data Management
Big Data
Marketing Analytics
Machine Learning"
308,Lead - Data Scientist - KPO,NovoTree Minds Consulting Pvt. Ltd.,Bengaluru,5-10 Yrs,"Data Science
Predictive Modeling
NLP
SQL / Pig / Hive
Data Scientist
Artificial Intelligence
Data Management
Machine Learning"
309,Head - Data Scientist - Machine Learning,e-Hireo Global Pvt Ltd,Bengaluru,8-10 Yrs,"Data Science
R
Data Scientist
Data Management
Machine Learning
Algorithm
Analytics
Python"
310,Data Scientist - Telecom - Iim/iit/bits/ Nit/fms/mdi,Change Leaders,Bengaluru,4-8 Yrs,"Data Science
Business Intelligence
SAS
Data Scientist
Data Management
Tableau
Data Analytics
Statistics"
311,Data Scientist - Consulting Firm,Huquo Consulting Pvt. Ltd,"Mumbai, Bengaluru",4-9 Yrs,"Data Science
Predictive Modeling
Data Scientist
Data Management
Data Analytics
Analytics
Analytical Model Development
Python"
312,Senior Data Scientist - Banking & Financial Services,Rinalytics Advisors,Mumbai,5-9 Yrs,"freelance
Data Science
Data Scientist
Data Management
Data Analytics
Machine Learning
Analytics
Python"
313,Senior Data Scientist,Turings (formerly Tuple),"Delhi NCR, Bengaluru, Hyderabad",6-11 Yrs,"deep learning
algorithms
python
data science
Scalability
Data Analysis
Statistical Modeling
data structures"
314,Lead Data Scientist_Hyderabad,INFOGREX TECHNOLOGIES PRIVATE LIMITED,Hyderabad,4-6 Yrs,"Data Science
jupyter
AI
Kafka
ML"
315,Senior Data Scientist - CPG Sector,NovoTree Minds Consulting Pvt. Ltd.,Bengaluru,5-10 Yrs,"Data Science
Data Scientist
Data Management
Statistical Modeling
GLM / Mix Models
Data Modeling
Data Analytics
Statistics"
316,Manager - Data Scientist/python - KPO,Huquo Consulting Pvt. Ltd,Gurgaon,5-8 Yrs,"Data Science
NLP & Text Mining
NLP
Retail Analytics
Data Scientist
Data Management
Statistics
Python"
317,Data Scientist Machine Learning,Delhivery,Gurgaon,1-3 Yrs,"algorithms
C++
operations
Simulation
Analytical
Machine learning
Tools
CMS"
318,Machine Learning Engineer/Data Scientist,Autodesk India Pvt Ltd,Bengaluru,3-8 Yrs,"Computer science
Automation
Performance management
Machine learning
Instrumentation
Business intelligence
Resource management
Distribution system"
319,Data Scientist,VARIATION COMPUSOLUTION LLP,Pune,1-6 Yrs,"analytics
deep learning
python
tensorflow
nlp
neural networks
machine learning
technical skills"
320,Associate Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,1-3 Yrs,"Computer science
C++
Data analysis
Analytical
Machine learning
HTML
Data mining
Analytics"
321,Data Scientist,XZED SKILLS PRIVATE LIMITED,"Bengaluru, Kochi",3-6 Yrs,"hive
Data Science
python
R
data modeling
SAS
spark
hdfs"
322,Data Scientist,Sybrant Data,Chennai,2-4 Yrs,"Computer science
R Programming
Machine learning
Hadoop
Perl
Data mining
Statistics
Python"
323,Data Scientist,Marktine,Jaipur,1-3 Yrs,"Computer languages
PDF
Neural networks
Machine learning
Predictive modeling
Business solutions
Revenue generation
Monitoring"
324,Data Scientist Level I,Bit Brothers Tech Pvt Ltd,Mumbai,2-4 Yrs,"Computer science
C++
Operations research
Analytical
Machine learning
Business intelligence
Data mining
Analytics"
325,"Data Scientist - Thane , Mumbai",Empower Recruitments,"Navi Mumbai, Mumbai",1-4 Yrs,"Unica Campaign
R
Data Management
Machine Learning
MATLAB
Python"
326,Opening For Data Scientist at Chennai,Inesh Management Consultancy,Chennai,3-7 Yrs,"Data Science
Maths
Computer Science
Chemical Engineering
Statistics
Physics"
327,Senior Data Scientist - Deep Learning/algorithm,Innoplexus Consulting services Pvt Ltd,Pune,6-11 Yrs,"Data Science
NoSQL
NLP
Data Scientist
PhD
Algorithm
Machine Learning
Deep Learning"
328,Senior Data Scientist - BFSI,Viaprom Technologies Pvt Ltd,Mumbai,6-8 Yrs,"Data Science
SAS Macros
SAS EG
R
SAS Sql
SAS
Data Scientist
SAS DI Studio"
329,Data Scientist,New Era India,Bengaluru,17-23 Yrs,"Java
Data Scientist
OOPS
Data Management
Big Data
Data Mining
PhD
Algorithm"
330,Lead Data Scientist / Machine Learning Expert,Bidgely Technologies Private Limited,Bengaluru,6-9 Yrs,"Product management
Computer science
Data analysis
Interpersonal skills
Machine learning
Intellectual property
Data mining
MATLAB"
331,Data Scientist,HR Devi and Associates,Bengaluru,6-10 Yrs,"algorithms
python
c
Artificial Intelligence
Data processing
Data mining
MATLAB
sql"
332,Data Scientist,Xoriant Solutions Pvt Ltd,Pune,7-10 Yrs,"Tensorflow
Java
R
Algorithms
Artificial Intelligence
Data Structures
Natural Language Processing
Keras"
333,Senior Data Scientist,Cubic Transportation Systems India Pvt. Ltd.,Hyderabad,6-8 Yrs,"Data analysis
SAP
Networking
Data modeling
Enterprise applications
Oracle
Information technology
SQL"
334,Senior Data Scientist - Banking & Financial Services,Rinalytics Advisors,Mumbai,5-9 Yrs,"Data Science
Data Scientist
Data Management
Data Analytics
Machine Learning
Analytics
Python"
335,Data Scientist - 5 To 12 Yrs - Bangalore,Black and White Business Solutions Pvt Ltd,Bengaluru,5-10 Yrs,"Data Science
python
scala
Data Scientist
data research
Deep Learning
ML"
336,Data Scientist / Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,1-6 Yrs,"Computer science
Automation
Data analysis
Analytical
Machine learning
HTML
Data quality
Analytics"
337,Artificial Intelligence Expert - Data Scientist/ Machine Learning,New Era India,United States,11-15 Yrs,"Speech Recognition
NLP
Artificial Intelligence
Image Processing
Data Scientist
Computer Vision
Machine Learning
PhD"
338,Data Scientist / Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,3-8 Yrs,"Computer science
Coding
Machine learning
HTML
Data mining
Analytics
SQL
Android"
